2026-07-14 11:49:07.316 | INFO     | main.lifespan:25 | Starting application
2026-07-14 11:49:07.367 | INFO     | database.init_database:84 | Database tables initialized successfully
2026-07-14 11:49:07.368 | INFO     | main.lifespan:28 | Application startup completed
2026-07-14 11:49:49.517 | INFO     | main.lifespan:35 | Shutting down application
2026-07-14 11:49:50.460 | INFO     | main.lifespan:25 | Starting application
2026-07-14 11:49:50.465 | INFO     | database.init_database:84 | Database tables initialized successfully
2026-07-14 11:49:50.465 | INFO     | main.lifespan:28 | Application startup completed
2026-07-14 11:49:59.478 | INFO     | main.lifespan:35 | Shutting down application
2026-07-14 11:50:03.127 | INFO     | main.lifespan:25 | Starting application
2026-07-14 11:50:03.130 | INFO     | database.init_database:84 | Database tables initialized successfully
2026-07-14 11:50:03.130 | INFO     | main.lifespan:28 | Application startup completed
2026-07-14 11:50:27.234 | INFO     | main.lifespan:35 | Shutting down application
2026-07-14 11:50:31.121 | INFO     | main.lifespan:25 | Starting application
2026-07-14 11:50:31.123 | INFO     | database.init_database:84 | Database tables initialized successfully
2026-07-14 11:50:31.124 | INFO     | main.lifespan:28 | Application startup completed
2026-07-14 11:50:48.829 | INFO     | main.lifespan:35 | Shutting down application
2026-07-14 11:50:49.869 | INFO     | main.lifespan:25 | Starting application
2026-07-14 11:50:49.874 | INFO     | database.init_database:80 | Database tables initialized successfully
2026-07-14 11:50:49.874 | INFO     | main.lifespan:28 | Application startup completed
2026-07-14 11:51:22.997 | INFO     | main.lifespan:35 | Shutting down application
2026-07-14 11:51:23.976 | INFO     | main.lifespan:25 | Starting application
2026-07-14 11:51:23.978 | INFO     | database.init_database:80 | Database tables initialized successfully
2026-07-14 11:51:23.979 | INFO     | main.lifespan:28 | Application startup completed
2026-07-14 11:51:26.281 | INFO     | main.lifespan:35 | Shutting down application
2026-07-14 11:52:47.375 | INFO     | main.lifespan:25 | Starting application
2026-07-14 11:52:47.378 | INFO     | database.init_database:80 | Database tables initialized successfully
2026-07-14 11:52:47.379 | INFO     | main.lifespan:28 | Application startup completed
2026-07-14 11:52:51.186 | INFO     | event_processor.process_event:32 | Creating new session for session-100
2026-07-14 11:52:51.237 | INFO     | session_repository.create_session:68 | Created new session: session-100
2026-07-14 11:52:51.272 | INFO     | event_processor.process_event:49 | Processed event LINK_CLICKED
2026-07-14 11:53:14.644 | INFO     | event_processor.process_event:32 | Creating new session for session-102
2026-07-14 11:53:14.679 | INFO     | session_repository.create_session:68 | Created new session: session-102
2026-07-14 11:53:14.713 | INFO     | event_processor.process_event:49 | Processed event LINK_CLICKED
2026-07-14 11:56:32.953 | INFO     | main.lifespan:35 | Shutting down application
